locus_tag	ftype	length_bp	gene	EC_number	COG	product
AFKFBACJ_00093	gene	648				
AFKFBACJ_00093	CDS	648				hypothetical protein
AFKFBACJ_00094	gene	504				
AFKFBACJ_00094	CDS	504				hypothetical protein
AFKFBACJ_00095	gene	396				
AFKFBACJ_00095	CDS	396				hypothetical protein
AFKFBACJ_00096	gene	2442				
AFKFBACJ_00096	CDS	2442				hypothetical protein
AFKFBACJ_00097	gene	219				
AFKFBACJ_00097	CDS	219				hypothetical protein
AFKFBACJ_00098	gene	2376	bfrD_1			
AFKFBACJ_00098	CDS	2376	bfrD_1		COG4774	putative TonB-dependent receptor BfrD
AFKFBACJ_00099	gene	681				
AFKFBACJ_00099	CDS	681		1.14.11.-	COG3128	PKHD-type hydroxylase
AFKFBACJ_00100	gene	486				
AFKFBACJ_00100	CDS	486				hypothetical protein
AFKFBACJ_00101	gene	705	yfiH			
AFKFBACJ_00101	CDS	705	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
AFKFBACJ_00102	gene	1071	hcf136_1			
AFKFBACJ_00102	CDS	1071	hcf136_1			Ycf48-like protein
AFKFBACJ_00103	gene	2880				
AFKFBACJ_00103	CDS	2880				hypothetical protein
AFKFBACJ_00104	gene	915				
AFKFBACJ_00104	CDS	915				hypothetical protein
AFKFBACJ_00105	gene	1179				
AFKFBACJ_00105	CDS	1179				hypothetical protein
AFKFBACJ_00106	gene	828	apaH_1			
AFKFBACJ_00106	CDS	828	apaH_1	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
AFKFBACJ_00107	gene	177				
AFKFBACJ_00107	CDS	177				hypothetical protein
AFKFBACJ_00108	gene	504				
AFKFBACJ_00108	CDS	504				hypothetical protein
AFKFBACJ_00109	gene	2967				
AFKFBACJ_00109	CDS	2967				hypothetical protein
AFKFBACJ_00110	gene	615				
AFKFBACJ_00110	CDS	615				hypothetical protein
AFKFBACJ_00111	gene	2526	btuB_3			
AFKFBACJ_00111	CDS	2526	btuB_3			Vitamin B12 transporter BtuB
AFKFBACJ_00112	gene	552				
AFKFBACJ_00112	CDS	552				hypothetical protein
AFKFBACJ_00113	gene	1185				
AFKFBACJ_00113	CDS	1185				hypothetical protein
AFKFBACJ_00114	gene	432	ohrB_1			
AFKFBACJ_00114	CDS	432	ohrB_1		COG1764	Organic hydroperoxide resistance protein OhrB
AFKFBACJ_00115	gene	2715	malT_1			
AFKFBACJ_00115	CDS	2715	malT_1			HTH-type transcriptional regulator MalT
AFKFBACJ_00116	gene	993	aes_2			
AFKFBACJ_00116	CDS	993	aes_2	3.1.1.-		Acetyl esterase
AFKFBACJ_00117	gene	2556	csxA			
AFKFBACJ_00117	CDS	2556	csxA	3.2.1.165	COG3250	Exo-beta-D-glucosaminidase
AFKFBACJ_00118	gene	1518	yagG			
AFKFBACJ_00118	CDS	1518	yagG		COG2211	Putative glycoside/cation symporter YagG
AFKFBACJ_00119	gene	384				
AFKFBACJ_00119	CDS	384				hypothetical protein
AFKFBACJ_00120	gene	1266	namA			
AFKFBACJ_00120	CDS	1266	namA	1.6.99.1		NADPH dehydrogenase
AFKFBACJ_00121	gene	312				
AFKFBACJ_00121	CDS	312				hypothetical protein
AFKFBACJ_00122	gene	759	zupT_1			
AFKFBACJ_00122	CDS	759	zupT_1			Zinc transporter ZupT
AFKFBACJ_00123	gene	876	pbpG			
AFKFBACJ_00123	CDS	876	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
AFKFBACJ_00124	gene	366				
AFKFBACJ_00124	CDS	366				hypothetical protein
AFKFBACJ_00125	gene	666				
AFKFBACJ_00125	CDS	666				hypothetical protein
AFKFBACJ_00126	gene	465				
AFKFBACJ_00126	CDS	465				hypothetical protein
AFKFBACJ_00127	gene	750				
AFKFBACJ_00127	CDS	750				hypothetical protein
AFKFBACJ_00128	gene	864				
AFKFBACJ_00128	CDS	864				hypothetical protein
AFKFBACJ_00129	gene	177				
AFKFBACJ_00129	CDS	177				hypothetical protein
AFKFBACJ_00130	gene	423				
AFKFBACJ_00130	CDS	423				hypothetical protein
AFKFBACJ_00131	gene	411				
AFKFBACJ_00131	CDS	411				hypothetical protein
AFKFBACJ_00132	gene	1014	ssuA_1			
AFKFBACJ_00132	CDS	1014	ssuA_1			Putative aliphatic sulfonates-binding protein
AFKFBACJ_00133	gene	1734				
AFKFBACJ_00133	CDS	1734				hypothetical protein
AFKFBACJ_00134	gene	234				
AFKFBACJ_00134	CDS	234				hypothetical protein
AFKFBACJ_00135	gene	975				
AFKFBACJ_00135	CDS	975				hypothetical protein
AFKFBACJ_00136	gene	1986	plcN_1			
AFKFBACJ_00136	CDS	1986	plcN_1	3.1.4.3	COG3511	Non-hemolytic phospholipase C
AFKFBACJ_00137	gene	2133	addA			
AFKFBACJ_00137	CDS	2133	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
AFKFBACJ_00138	gene	852				
AFKFBACJ_00138	CDS	852				hypothetical protein
AFKFBACJ_00139	gene	1056				
AFKFBACJ_00139	CDS	1056				hypothetical protein
AFKFBACJ_00140	gene	1449				
AFKFBACJ_00140	CDS	1449				hypothetical protein
AFKFBACJ_00141	gene	1680	dap			
AFKFBACJ_00141	CDS	1680	dap	3.4.11.19		D-aminopeptidase
AFKFBACJ_00142	gene	88				
AFKFBACJ_00142	tRNA	88				tRNA-Ala(ggc)
AFKFBACJ_00143	gene	945	ycjG			
AFKFBACJ_00143	CDS	945	ycjG	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
AFKFBACJ_00144	gene	741	bshA			
AFKFBACJ_00144	CDS	741	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
AFKFBACJ_00145	gene	450				
AFKFBACJ_00145	CDS	450				hypothetical protein
AFKFBACJ_00146	gene	2556	btuB_4			
AFKFBACJ_00146	CDS	2556	btuB_4			Vitamin B12 transporter BtuB
AFKFBACJ_00147	gene	999	fecR_1			
AFKFBACJ_00147	CDS	999	fecR_1		COG3712	Protein FecR
AFKFBACJ_00148	gene	555	fecI			
AFKFBACJ_00148	CDS	555	fecI		COG1595	putative RNA polymerase sigma factor FecI
AFKFBACJ_00149	gene	738	metN_1			
AFKFBACJ_00149	CDS	738	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
AFKFBACJ_00150	gene	663	metP_1			
AFKFBACJ_00150	CDS	663	metP_1		COG2011	Methionine import system permease protein MetP
AFKFBACJ_00151	gene	807	metQ_1			
AFKFBACJ_00151	CDS	807	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
AFKFBACJ_00152	gene	1254				
AFKFBACJ_00152	CDS	1254				hypothetical protein
AFKFBACJ_00153	gene	1770				
AFKFBACJ_00153	CDS	1770				hypothetical protein
AFKFBACJ_00154	gene	678	qseB_1			
AFKFBACJ_00154	CDS	678	qseB_1			Transcriptional regulatory protein QseB
AFKFBACJ_00155	gene	1710	sasA_1			
AFKFBACJ_00155	CDS	1710	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
AFKFBACJ_00156	gene	966	nudC_1			
AFKFBACJ_00156	CDS	966	nudC_1	3.6.1.22		NADH pyrophosphatase
AFKFBACJ_00157	gene	450				
AFKFBACJ_00157	CDS	450				hypothetical protein
AFKFBACJ_00158	gene	2478				
AFKFBACJ_00158	CDS	2478		3.5.1.23		Neutral ceramidase
AFKFBACJ_00159	gene	1212				
AFKFBACJ_00159	CDS	1212			COG1680	putative protein
AFKFBACJ_00160	gene	789				
AFKFBACJ_00160	CDS	789				hypothetical protein
AFKFBACJ_00161	gene	489				
AFKFBACJ_00161	CDS	489			COG2764	putative protein
AFKFBACJ_00162	gene	693				
AFKFBACJ_00162	CDS	693				hypothetical protein
AFKFBACJ_00163	gene	366				
AFKFBACJ_00163	CDS	366				hypothetical protein
AFKFBACJ_00164	gene	339				
AFKFBACJ_00164	CDS	339				hypothetical protein
AFKFBACJ_00165	gene	309				
AFKFBACJ_00165	CDS	309				hypothetical protein
AFKFBACJ_00166	gene	465				
AFKFBACJ_00166	CDS	465				hypothetical protein
AFKFBACJ_00167	gene	3072	arnC_1			
AFKFBACJ_00167	CDS	3072	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
AFKFBACJ_00168	gene	1293				
AFKFBACJ_00168	CDS	1293				hypothetical protein
AFKFBACJ_00169	gene	327	glnK_1			
AFKFBACJ_00169	CDS	327	glnK_1		COG0347	Nitrogen regulatory protein P-II 2
AFKFBACJ_00170	gene	969				
AFKFBACJ_00170	CDS	969				hypothetical protein
AFKFBACJ_00171	gene	186	glnK_2			
AFKFBACJ_00171	CDS	186	glnK_2		COG0347	Nitrogen regulatory protein P-II 2
AFKFBACJ_00172	gene	942	yfeW_1			
AFKFBACJ_00172	CDS	942	yfeW_1	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
AFKFBACJ_00173	gene	192				
AFKFBACJ_00173	CDS	192				hypothetical protein
AFKFBACJ_00174	gene	1455				
AFKFBACJ_00174	CDS	1455				hypothetical protein
AFKFBACJ_00175	gene	534				
AFKFBACJ_00175	CDS	534				hypothetical protein
AFKFBACJ_00176	gene	1374	oprO			
AFKFBACJ_00176	CDS	1374	oprO		COG3746	Porin O
AFKFBACJ_00177	gene	2745	pknD_1			
AFKFBACJ_00177	CDS	2745	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
AFKFBACJ_00178	gene	195				
AFKFBACJ_00178	CDS	195				hypothetical protein
AFKFBACJ_00179	gene	1146				
AFKFBACJ_00179	CDS	1146				hypothetical protein
AFKFBACJ_00180	gene	531	mprA_1			
AFKFBACJ_00180	CDS	531	mprA_1		COG1846	Transcriptional repressor MprA
AFKFBACJ_00181	gene	1455	ttgI_1			
AFKFBACJ_00181	CDS	1455	ttgI_1			Toluene efflux pump outer membrane protein TtgI
AFKFBACJ_00182	gene	1014	iolS_1			
AFKFBACJ_00182	CDS	1014	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
AFKFBACJ_00183	gene	588				
AFKFBACJ_00183	CDS	588				hypothetical protein
AFKFBACJ_00184	gene	1749				
AFKFBACJ_00184	CDS	1749		1.3.99.5		3-oxo-5-alpha-steroid 4-dehydrogenase
AFKFBACJ_00185	gene	900	pgrR_1			
AFKFBACJ_00185	CDS	900	pgrR_1			HTH-type transcriptional regulator PgrR
AFKFBACJ_00186	gene	834				
AFKFBACJ_00186	CDS	834		1.13.11.82		8'-apo-carotenoid 13,14-cleaving dioxygenase
AFKFBACJ_00187	gene	453				
AFKFBACJ_00187	CDS	453			COG1846	putative HTH-type transcriptional regulator
AFKFBACJ_00188	gene	426	rutB			
AFKFBACJ_00188	CDS	426	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
AFKFBACJ_00189	gene	330				
AFKFBACJ_00189	CDS	330				hypothetical protein
AFKFBACJ_00190	gene	1278	entS_1			
AFKFBACJ_00190	CDS	1278	entS_1			Enterobactin exporter EntS
AFKFBACJ_00191	gene	252				
AFKFBACJ_00191	CDS	252				hypothetical protein
AFKFBACJ_00192	gene	564				
AFKFBACJ_00192	CDS	564				hypothetical protein
AFKFBACJ_00193	gene	309				
AFKFBACJ_00193	CDS	309				hypothetical protein
AFKFBACJ_00194	gene	1554				
AFKFBACJ_00194	CDS	1554				hypothetical protein
AFKFBACJ_00195	gene	1989				
AFKFBACJ_00195	CDS	1989				hypothetical protein
AFKFBACJ_00196	gene	399				
AFKFBACJ_00196	CDS	399				hypothetical protein
AFKFBACJ_00197	gene	1065				
AFKFBACJ_00197	CDS	1065				hypothetical protein
AFKFBACJ_00198	gene	204				
AFKFBACJ_00198	CDS	204				hypothetical protein
AFKFBACJ_00199	gene	2217				
AFKFBACJ_00199	CDS	2217				hypothetical protein
AFKFBACJ_00200	gene	615				
AFKFBACJ_00200	CDS	615				hypothetical protein
AFKFBACJ_00201	gene	1239				
AFKFBACJ_00201	CDS	1239				hypothetical protein
AFKFBACJ_00202	gene	1398				
AFKFBACJ_00202	CDS	1398				hypothetical protein
AFKFBACJ_00203	gene	657				
AFKFBACJ_00203	CDS	657				hypothetical protein
AFKFBACJ_00204	gene	417				
AFKFBACJ_00204	CDS	417				hypothetical protein
AFKFBACJ_00205	gene	531	apt_1			
AFKFBACJ_00205	CDS	531	apt_1	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
AFKFBACJ_00206	gene	1173	tilS_1			
AFKFBACJ_00206	CDS	1173	tilS_1	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
AFKFBACJ_00207	gene	1008	accA			
AFKFBACJ_00207	CDS	1008	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
AFKFBACJ_00208	gene	2427	dnaE			
AFKFBACJ_00208	CDS	2427	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
AFKFBACJ_00209	gene	318	ccdB			
AFKFBACJ_00209	CDS	318	ccdB			Toxin CcdB
AFKFBACJ_00210	gene	252				
AFKFBACJ_00210	CDS	252				hypothetical protein
AFKFBACJ_00211	gene	255				
AFKFBACJ_00211	CDS	255				hypothetical protein
AFKFBACJ_00212	gene	579				
AFKFBACJ_00212	CDS	579				hypothetical protein
AFKFBACJ_00213	gene	642	lnrK			
AFKFBACJ_00213	CDS	642	lnrK		COG2197	Transcriptional regulatory protein LnrK
AFKFBACJ_00214	gene	1182				
AFKFBACJ_00214	CDS	1182				hypothetical protein
AFKFBACJ_00215	gene	708				
AFKFBACJ_00215	CDS	708				hypothetical protein
AFKFBACJ_00216	gene	684				
AFKFBACJ_00216	CDS	684				hypothetical protein
AFKFBACJ_00217	gene	510				
AFKFBACJ_00217	CDS	510				hypothetical protein
AFKFBACJ_00218	gene	486				
AFKFBACJ_00218	CDS	486				hypothetical protein
AFKFBACJ_00219	gene	891				
AFKFBACJ_00219	CDS	891				hypothetical protein
AFKFBACJ_00220	gene	2019				
AFKFBACJ_00220	CDS	2019				hypothetical protein
AFKFBACJ_00221	gene	1302				
AFKFBACJ_00221	CDS	1302				hypothetical protein
AFKFBACJ_00222	gene	675				
AFKFBACJ_00222	CDS	675				hypothetical protein
AFKFBACJ_00223	gene	591	rpoE_2			
AFKFBACJ_00223	CDS	591	rpoE_2			ECF RNA polymerase sigma-E factor
AFKFBACJ_00224	gene	690				
AFKFBACJ_00224	CDS	690				hypothetical protein
AFKFBACJ_00225	gene	789				
AFKFBACJ_00225	CDS	789				hypothetical protein
AFKFBACJ_00226	gene	636				
AFKFBACJ_00226	CDS	636				hypothetical protein
AFKFBACJ_00227	gene	2745	pknD_2			
AFKFBACJ_00227	CDS	2745	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
AFKFBACJ_00228	gene	1371				
AFKFBACJ_00228	CDS	1371				hypothetical protein
AFKFBACJ_00229	gene	561				
AFKFBACJ_00229	CDS	561				hypothetical protein
AFKFBACJ_00230	gene	1374				
AFKFBACJ_00230	CDS	1374				hypothetical protein
AFKFBACJ_00231	gene	396				
AFKFBACJ_00231	CDS	396				hypothetical protein
AFKFBACJ_00232	gene	249				
AFKFBACJ_00232	CDS	249				hypothetical protein
AFKFBACJ_00233	gene	1566				
AFKFBACJ_00233	CDS	1566		3.4.21.101		Xanthomonalisin
AFKFBACJ_00234	gene	168				
AFKFBACJ_00234	CDS	168				hypothetical protein
AFKFBACJ_00235	gene	759				
AFKFBACJ_00235	CDS	759				hypothetical protein
AFKFBACJ_00236	gene	207				
AFKFBACJ_00236	CDS	207				hypothetical protein
AFKFBACJ_00237	gene	558	cbaB			
AFKFBACJ_00237	CDS	558	cbaB	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
AFKFBACJ_00238	gene	1629	cbaA			
AFKFBACJ_00238	CDS	1629	cbaA	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
AFKFBACJ_00239	gene	825				
AFKFBACJ_00239	CDS	825				hypothetical protein
AFKFBACJ_00240	gene	456	dut			
AFKFBACJ_00240	CDS	456	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
AFKFBACJ_00241	gene	1254	coaBC			
AFKFBACJ_00241	CDS	1254	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
AFKFBACJ_00242	gene	1281				
AFKFBACJ_00242	CDS	1281				hypothetical protein
AFKFBACJ_00243	gene	1539				
AFKFBACJ_00243	CDS	1539				hypothetical protein
AFKFBACJ_00244	gene	588	lemA_1			
AFKFBACJ_00244	CDS	588	lemA_1		COG1704	Protein LemA
AFKFBACJ_00245	gene	723	htpX			
AFKFBACJ_00245	CDS	723	htpX	3.4.24.-		Protease HtpX
AFKFBACJ_00246	gene	483	yadH_1			
AFKFBACJ_00246	CDS	483	yadH_1		COG0842	Inner membrane transport permease YadH
AFKFBACJ_00247	gene	237				
AFKFBACJ_00247	CDS	237				hypothetical protein
AFKFBACJ_00248	gene	1260	murA			
AFKFBACJ_00248	CDS	1260	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
AFKFBACJ_00249	gene	978	hsaD_1			
AFKFBACJ_00249	CDS	978	hsaD_1	3.7.1.17		4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase
AFKFBACJ_00250	gene	885	gcvA_1			
